file,n,m,n_x_m,time,fitness,maxtoner
'/home/lucas/git/tonerscheduling/resources/507.txt',1000,1000,1000000,2.494,1000.0,1000
'/home/lucas/git/tonerscheduling/resources/567.txt',1000,1000,1000000,2.365,1000.0,1000
'/home/lucas/git/tonerscheduling/resources/258.txt',30,40,1200,0.016,17.0,17
'/home/lucas/git/tonerscheduling/resources/1314.txt',800,800,640000,3.394,744.0,744
'/home/lucas/git/tonerscheduling/resources/54.txt',10,30,300,0.005,6.0,6
'/home/lucas/git/tonerscheduling/resources/355.txt',50,100,5000,0.039,76.0,76
'/home/lucas/git/tonerscheduling/resources/662.txt',175,175,30625,0.154,167.0,167
'/home/lucas/git/tonerscheduling/resources/357.txt',50,100,5000,0.039,78.0,78
'/home/lucas/git/tonerscheduling/resources/1107.txt',600,600,360000,2.184,521.0,521
'/home/lucas/git/tonerscheduling/resources/400.txt',1000,1000,1000000,3.501,999.0,999
'/home/lucas/git/tonerscheduling/resources/109.txt',15,40,600,0.011,9.0,9
'/home/lucas/git/tonerscheduling/resources/50.txt',10,30,300,0.006,7.0,7
'/home/lucas/git/tonerscheduling/resources/1142.txt',75,75,5625,0.034,62.0,62
'/home/lucas/git/tonerscheduling/resources/580.txt',125,125,15625,0.082,120.0,120
'/home/lucas/git/tonerscheduling/resources/1276.txt',800,800,640000,1.668,800.0,800
'/home/lucas/git/tonerscheduling/resources/1141.txt',75,75,5625,0.036,60.0,60
'/home/lucas/git/tonerscheduling/resources/342.txt',100,100,10000,0.078,61.0,61
'/home/lucas/git/tonerscheduling/resources/548.txt',1000,1000,1000000,7.306,868.0,868
'/home/lucas/git/tonerscheduling/resources/1281.txt',800,800,640000,1.755,800.0,800
'/home/lucas/git/tonerscheduling/resources/40.txt',10,20,200,0.003,9.0,9
'/home/lucas/git/tonerscheduling/resources/1309.txt',800,800,640000,3.482,755.0,755
'/home/lucas/git/tonerscheduling/resources/1051.txt',600,600,360000,1.072,600.0,600
'/home/lucas/git/tonerscheduling/resources/351.txt',100,100,10000,0.054,93.0,93
'/home/lucas/git/tonerscheduling/resources/420.txt',1000,1000,1000000,3.641,1000.0,1000
'/home/lucas/git/tonerscheduling/resources/446.txt',1000,1000,1000000,3.221,1000.0,1000
